G#30.25,385
G#30.5,386
G#30.75,387
G#31.0,388
G#31.5,389
G#34/3,390
G#40.0,391
G#40.25,392
G#40.5,393
G#41.0,394
G#41.25,395
G#41.5,396
G#50.0,397
G#50.25,398
G#50.5,399
G10.5,400
G11.0,401
G20.0,402
G20.25,403
G20.5,404
G20.75,405
G21.0,406
G21.25,407
G21.5,408
G21/3,409
G22.0,410
G22/3,411
G24.0,412
G25.0,413
G30.0,414
G30.25,415
G30.5,416
G30.75,417
G31.0,418
G31.25,419
G31.5,420
G31/3,421
G32.0,422
G32.25,423
G32.75,424
G33.0,425
G34.0,426
G35/3,427
G40.0,428
G40.25,429
G40.5,430
G40.75,431
G41.0,432
G41.25,433
G41.5,434
G41.75,435
G41/3,436
G42.0,437
G42.5,438
G42.75,439
G42/3,440
G43.0,441
G44.0,442
G45/3,443
G50.0,444
G50.25,445
G50.5,446
G50.75,447
G51.0,448
G51.25,449
G51.5,450
G51.75,451
G51/3,452
G52.0,453
G52.5,454
G52/3,455
G53.0,456
G54.0,457
Notes,458
A-20.25,459
A-20.5,460
A-30.25,461
A-40.25,462
E20.75,463
E42.25,464
F20.5,465
F20.75,466
F30.75,467
G10.25,468
R00.25,469
R00.5,470
end,471
